word,in_doc,TF,IDF,TF.IDF
carry,utah.txt,0.0,8.0,0.0
citizen,utah.txt,0.0,8.0,0.0
citizens,utah.txt,0.014492753623188406,4.0,0.057971014492753624
civic,utah.txt,0.0,8.0,0.0
class,utah.txt,0.0,8.0,0.0
college,utah.txt,0.0,4.0,0.0
commitment,utah.txt,0.0,8.0,0.0
committed,utah.txt,0.0,4.0,0.0
communities,utah.txt,0.014492753623188406,8.0,0.11594202898550725
community,utah.txt,0.0,4.0,0.0
condition,utah.txt,0.0,8.0,0.0
continues,utah.txt,0.0,8.0,0.0
contributions,utah.txt,0.014492753623188406,8.0,0.11594202898550725
cultivates,utah.txt,0.0,8.0,0.0
culture,utah.txt,0.0,8.0,0.0
develop,utah.txt,0.0,8.0,0.0
discoveries,utah.txt,0.014492753623188406,8.0,0.11594202898550725
diverse,utah.txt,0.014492753623188406,4.0,0.057971014492753624
do,utah.txt,0.0,8.0,0.0
dynamic,utah.txt,0.0,8.0,0.0
educate,utah.txt,0.0,8.0,0.0
educates,utah.txt,0.0,8.0,0.0
education,utah.txt,0.014492753623188406,2.0,0.028985507246376812
educational,utah.txt,0.0,8.0,0.0
encourages,utah.txt,0.0,8.0,0.0
engage,utah.txt,0.014492753623188406,8.0,0.11594202898550725
engagement,utah.txt,0.0,8.0,0.0
engages,utah.txt,0.0,8.0,0.0
ensure,utah.txt,0.014492753623188406,8.0,0.11594202898550725
ethical,utah.txt,0.0,8.0,0.0
everywhere,utah.txt,0.0,8.0,0.0
excellence,utah.txt,0.0,2.6666666666666665,0.0
exchange,utah.txt,0.0,8.0,0.0
experiential,utah.txt,0.0,8.0,0.0
extending,utah.txt,0.0,8.0,0.0
faculty,utah.txt,0.0,8.0,0.0
financial,utah.txt,0.014492753623188406,8.0,0.11594202898550725
flexible,utah.txt,0.0,8.0,0.0
focused,utah.txt,0.0,8.0,0.0
for,utah.txt,0.014492753623188406,2.0,0.028985507246376812
fosters,utah.txt,0.014492753623188406,8.0,0.11594202898550725
free,utah.txt,0.0,8.0,0.0
from,utah.txt,0.014492753623188406,8.0,0.11594202898550725
future,utah.txt,0.0,8.0,0.0
generate,utah.txt,0.014492753623188406,8.0,0.11594202898550725
generations,utah.txt,0.0,8.0,0.0
georgia,utah.txt,0.0,8.0,0.0
global,utah.txt,0.014492753623188406,8.0,0.11594202898550725
globally,utah.txt,0.0,8.0,0.0
goals,utah.txt,0.0,8.0,0.0
grant,utah.txt,0.0,8.0,0.0
growth,utah.txt,0.0,8.0,0.0
harvard,utah.txt,0.0,8.0,0.0
health,utah.txt,0.014492753623188406,8.0,0.11594202898550725
human,utah.txt,0.0,8.0,0.0
ideas,utah.txt,0.0,8.0,0.0
impact,utah.txt,0.014492753623188406,4.0,0.057971014492753624
improve,utah.txt,0.0,8.0,0.0
improving,utah.txt,0.0,8.0,0.0
in,utah.txt,0.014492753623188406,1.6,0.02318840579710145
inclusion,utah.txt,0.0,8.0,0.0
inclusive,utah.txt,0.0,8.0,0.0
innovation,utah.txt,0.0,8.0,0.0
innovations,utah.txt,0.014492753623188406,8.0,0.11594202898550725
inspire,utah.txt,0.0,8.0,0.0
institution,utah.txt,0.014492753623188406,4.0,0.057971014492753624
intellectual,utah.txt,0.014492753623188406,8.0,0.11594202898550725
interdependent,utah.txt,0.0,8.0,0.0
